date,prophet_units,sku,neural_units,ensemble_units
2024-08-04,17.54703172495968,SKU_145,86.84729,52.19716086247984
2024-08-11,17.60066946614032,SKU_145,86.97762,52.28914473307016
2024-08-18,17.654307207320958,SKU_145,87.19201,52.423158603660475
2024-08-25,17.7079449485016,SKU_145,87.406334,52.5571394742508
2024-06-16,17.274211353143205,SKU_146,5.058034,11.166122676571602
2024-06-23,17.235020031042858,SKU_146,4.8350973,11.03505866552143
2024-06-30,17.195828708942518,SKU_146,4.5137634,10.854796054471258
2024-07-07,17.156637386842174,SKU_146,4.1924286,10.674532993421087
2024-07-14,17.117446064741827,SKU_146,3.920297,10.518871532370914
2024-07-21,17.078254742641484,SKU_146,3.5989692,10.338611971320741
2024-07-28,17.03906342054114,SKU_146,3.27764,10.15835171027057
2024-08-04,16.999872098440797,SKU_146,3.005499,10.002685549220399
2024-08-11,16.960680776340453,SKU_146,2.7333682,9.847024488170227
2024-08-18,16.92148945424011,SKU_146,2.4120378,9.666763627120055
2024-08-25,16.882298132139763,SKU_146,2.09071,9.486504066069882
2024-09-01,16.843106810039423,SKU_146,1.8185728,9.33083980501971
2024-06-23,16.456606956331427,SKU_147,94.20562,55.33111347816571
2024-06-30,16.369773970628774,SKU_147,94.135376,55.25257498531438
2024-07-07,16.28294098492612,SKU_147,94.06504,55.17399049246306
2024-07-14,16.196107999223464,SKU_147,93.865776,55.03094199961173
2024-07-21,16.10927501352081,SKU_147,93.79544,54.95235750676041
2024-07-28,16.02244202781816,SKU_147,93.72503,54.87373601390908
2024-08-04,15.935609042115503,SKU_147,93.52585,54.730729521057754
2024-08-11,15.84877605641285,SKU_147,93.32658,54.587678028206426
2024-08-18,15.761943070710196,SKU_147,93.25626,54.5091015353551
2024-08-25,15.67511008500754,SKU_147,93.185844,54.430477042503774
2024-09-01,15.58827709930489,SKU_147,92.986664,54.28747054965245
2024-09-08,15.501444113602233,SKU_147,92.78739,54.14441705680112
2024-06-23,15.057797345253263,SKU_148,39.609753,27.33377517262663
2024-06-30,14.97305703993065,SKU_148,39.195526,27.084291519965326
2024-07-07,14.888316734608038,SKU_148,38.781273,26.83479486730402
2024-07-14,14.803576429285426,SKU_148,38.414192,26.608884214642714
2024-07-21,14.718836123962816,SKU_148,37.99994,26.35938806198141
2024-07-28,14.634095818640205,SKU_148,37.585667,26.109881409320103
2024-08-04,14.549355513317591,SKU_148,37.2186,25.883977756658798
2024-08-11,14.46461520799498,SKU_148,36.85152,25.65806760399749
2024-08-18,14.379874902672368,SKU_148,36.437267,25.408570951336184
2024-08-25,14.295134597349756,SKU_148,36.023003,25.15906879867488
2024-09-01,14.210394292027145,SKU_148,35.655937,24.933165646013574
2024-09-08,14.125653986704531,SKU_148,35.28885,24.707251993352266
2024-06-09,18.0974291332111,SKU_149,-24.934107,-3.41833893339445
2024-06-16,18.104918357300708,SKU_149,-24.92578,-3.410430821349646
2024-06-23,18.11240758139032,SKU_149,-24.750967,-3.3192797093048405
2024-06-30,18.119896805479925,SKU_149,-24.742529,-3.311316097260038
2024-07-07,18.12738602956953,SKU_149,-24.734142,-3.303377985215235
2024-07-14,18.134875253659143,SKU_149,-24.642548,-3.2538363731704294
2024-07-21,18.14236447774875,SKU_149,-24.63416,-3.245897761125626
2024-07-28,18.14985370183836,SKU_149,-24.625826,-3.23798614908082
2024-08-04,18.157342925927967,SKU_149,-24.534184,-3.1884205370360164
2024-08-11,18.16483215001757,SKU_149,-24.442593,-3.138880424991214
2024-08-18,18.172321374107185,SKU_149,-24.4342,-3.130939312946408
2024-08-25,18.17981059819679,SKU_149,-24.425858,-3.123023700901605
2024-06-23,20.167013990937207,SKU_150,32.204735,26.185874495468603
2024-06-30,20.181062990375143,SKU_150,31.806093,25.99357799518757
2024-07-07,20.19511198981309,SKU_150,31.407467,25.801289494906545
2024-07-14,20.20916098925104,SKU_150,31.041622,25.625391494625518
2024-07-21,20.22320998868898,SKU_150,30.642994,25.43310199434449
2024-07-28,20.23725898812692,SKU_150,30.244377,25.240817994063462
2024-08-04,20.25130798756486,SKU_150,29.878523,25.06491549378243
2024-08-11,20.265356987002804,SKU_150,29.512686,24.889021493501403
2024-08-18,20.279405986440747,SKU_150,29.11405,24.69672799322037
2024-08-25,20.29345498587869,SKU_150,28.715435,24.504444992939344
2024-09-01,20.30750398531663,SKU_150,28.349583,24.328543492658312
2024-09-08,20.32155298475457,SKU_150,27.983744,24.15264849237729
2024-06-23,16.687333359518266,SKU_151,29.379002,23.03316767975913
2024-06-30,16.620644055907466,SKU_151,28.814423,22.717533527953734
2024-07-07,16.553954752296665,SKU_151,28.249834,22.401894376148334
2024-07-14,16.487265448685864,SKU_151,27.594517,22.040891224342932
2024-07-21,16.420576145075067,SKU_151,27.029926,21.72525107253753
2024-07-28,16.35388684146427,SKU_151,26.46532,21.409603420732132
2024-08-04,16.28719753785347,SKU_151,25.810026,21.048611768926733
2024-08-11,16.220508234242672,SKU_151,25.154703,20.687605617121335
2024-08-18,16.15381893063187,SKU_151,24.590117,20.371967965315935
2024-08-25,16.087129627021074,SKU_151,24.025509,20.056319313510535
2024-09-01,16.020440323410273,SKU_151,23.37021,19.695325161705135
2024-09-08,15.953751019799473,SKU_151,22.714886,19.334318509899738
2024-06-23,19.367158491615974,SKU_152,-14.011803,2.677677745807987
2024-06-30,19.300740731476985,SKU_152,-14.130957,2.5848918657384923
2024-07-07,19.234322971338,SKU_152,-14.250081,2.4921209856689996
2024-07-14,19.16790521119901,SKU_152,-14.223112,2.4723966055995046
2024-07-21,19.101487451060013,SKU_152,-14.342234,2.3796267255300068
2024-07-28,19.035069690921024,SKU_152,-14.461323,2.2868733454605117
2024-08-04,18.968651930782038,SKU_152,-14.434391,2.267130465391019
2024-08-11,18.902234170643045,SKU_152,-14.407414,2.2474100853215226
2024-08-18,18.83581641050405,SKU_152,-14.526542,2.154637205252026
2024-08-25,18.769398650365066,SKU_152,-14.645634,2.061882325182533
2024-09-01,18.702980890226076,SKU_152,-14.618695,2.0421429451130377
2024-09-08,18.63656313008708,SKU_152,-14.591717,2.02242306504354
2024-06-16,18.58759090145433,SKU_153,49.796352,34.191971450727166
2024-06-23,18.51960562303817,SKU_153,49.555042,34.03732381151909
2024-06-30,18.451620344622004,SKU_153,49.50006,33.975840172311
2024-07-07,18.38363506620584,SKU_153,49.445065,33.91435003310292
2024-07-14,18.315649787789678,SKU_153,49.296913,33.80628139389484
2024-07-21,18.247664509373507,SKU_153,49.241917,33.744790754686754
2024-07-28,18.17967923095734,SKU_153,49.186913,33.68329611547867
2024-08-04,18.111693952541174,SKU_153,49.03877,33.57523197627059
2024-08-11,18.04370867412501,SKU_153,48.890614,33.46716133706251
2024-08-18,17.975723395708847,SKU_153,48.83562,33.40567169785442
2024-08-25,17.90773811729268,SKU_153,48.780617,33.34417755864634
2024-09-01,17.839752838876514,SKU_153,48.632477,33.23611491943826
2024-06-23,24.352155404502422,SKU_154,-16.871008,3.7405737022512113
2024-06-30,24.47470606650321,SKU_154,-16.614386,3.930160033251605
2024-07-07,24.597256728503996,SKU_154,-16.357792,4.119732364251998
2024-07-14,24.71980739050478,SKU_154,-16.033474,4.343166695252391
2024-07-21,24.842358052505563,SKU_154,-15.776876,4.532741026252782
2024-07-28,24.964908714506347,SKU_154,-15.520311,4.722298857253174
2024-08-04,25.08745937650713,SKU_154,-15.195961,4.945749188253565
2024-08-11,25.21001003850792,SKU_154,-14.871647,5.169181519253961
2024-08-18,25.332560700508708,SKU_154,-14.615042,5.358759350254354
2024-08-25,25.455111362509488,SKU_154,-14.358477,5.548317181254744
2024-09-01,25.577662024510275,SKU_154,-14.034132,5.771765012255138
2024-09-08,25.70021268651106,SKU_154,-13.709819,5.995196843255529
2024-06-23,20.326834548162232,SKU_155,-5.7318263,7.297504124081116
2024-06-30,20.301301451479823,SKU_155,-5.3709655,7.465167975739911
2024-07-07,20.27576835479742,SKU_155,-5.0101075,7.63283042739871
2024-07-14,20.25023525811501,SKU_155,-4.6422777,7.803978779057504
2024-07-21,20.224702161432607,SKU_155,-4.2814164,7.971642880716303
2024-07-28,20.1991690647502,SKU_155,-3.9205556,8.1393067323751
2024-08-04,20.1736359680678,SKU_155,-3.552732,8.3104519840339
2024-08-11,20.14810287138539,SKU_155,-3.1849084,8.481597235692695
2024-08-18,20.12256977470298,SKU_155,-2.8240442,8.649262787351491
2024-08-25,20.097036678020576,SKU_155,-2.46318,8.816928339010287
2024-09-01,20.071503581338167,SKU_155,-2.0953567,8.988073440669083
2024-09-08,20.04597048465576,SKU_155,-1.7275331,9.159218692327881
2024-06-23,21.873472877816585,SKU_156,87.28692,54.58019643890829
2024-06-30,21.91833737891764,SKU_156,87.4172,54.66776868945882
2024-07-07,21.96320188001869,SKU_156,87.547386,54.755293940009345
2024-07-14,22.008066381119747,SKU_156,87.62618,54.817123190559876
2024-07-21,22.0529308822208,SKU_156,87.75637,54.904650441110405
