date,forecast_units,sku
2024-08-25,21.597816,SKU_125
2024-09-01,21.496326,SKU_125
2024-09-08,21.39486,SKU_125
2024-06-16,19.936714,SKU_126
2024-06-23,19.811478,SKU_126
2024-06-30,19.755955,SKU_126
2024-07-07,19.70041,SKU_126
2024-07-14,19.61002,SKU_126
2024-07-21,19.554478,SKU_126
2024-07-28,19.498915,SKU_126
2024-08-04,19.40854,SKU_126
2024-08-11,19.318148,SKU_126
2024-08-18,19.262606,SKU_126
2024-08-25,19.207047,SKU_126
2024-09-01,19.116669,SKU_126
2024-06-23,61.718124,SKU_127
2024-06-30,61.800274,SKU_127
2024-07-07,61.882385,SKU_127
2024-07-14,62.060677,SKU_127
2024-07-21,62.142784,SKU_127
2024-07-28,62.22486,SKU_127
2024-08-04,62.403187,SKU_127
2024-08-11,62.58148,SKU_127
2024-08-18,62.66359,SKU_127
2024-08-25,62.745674,SKU_127
2024-09-01,62.923996,SKU_127
2024-09-08,63.10228,SKU_127
2024-06-09,-21.372269,SKU_128
2024-06-16,-21.61033,SKU_128
2024-06-23,-21.746222,SKU_128
2024-06-30,-21.984259,SKU_128
2024-07-07,-22.22231,SKU_128
2024-07-14,-22.409277,SKU_128
2024-07-21,-22.647327,SKU_128
2024-07-28,-22.885386,SKU_128
2024-08-04,-23.072346,SKU_128
2024-08-11,-23.259317,SKU_128
2024-08-18,-23.497362,SKU_128
2024-08-25,-23.735424,SKU_128
2024-06-23,-9.248404,SKU_129
2024-06-30,-9.698215,SKU_129
2024-07-07,-10.148031,SKU_129
2024-07-14,-10.462012,SKU_129
2024-07-21,-10.911829,SKU_129
2024-07-28,-11.3616495,SKU_129
2024-08-04,-11.675626,SKU_129
2024-08-11,-11.989607,SKU_129
2024-08-18,-12.439424,SKU_129
2024-08-25,-12.889244,SKU_129
2024-09-01,-13.20322,SKU_129
2024-09-08,-13.517201,SKU_129
2024-06-23,86.6558,SKU_130
2024-06-30,87.28265,SKU_130
2024-07-07,87.909454,SKU_130
2024-07-14,88.487206,SKU_130
